doc_id,question,expected_answer,title,modalities
paper_1,What is the population used in the study for developing the Multi-Channel Convolutional Neural Network for lung cancer risk prediction?,"The population comprised 523,539 patients from Taiwan's National Health Insurance Research Database, including 2,809 lung cancer patients, 23,783 with other cancers, and 496,947 non-cancer patients.",An exploratory study of multi-channel CNN for early detection of lung cancer from longitudinal healthcare records.,ct; clinical
paper_1,What intervention was employed in the study to predict lung cancer risks?,"The intervention involved the development of a Multi-Channel Convolutional Neural Network (MCNN) that analyzes longitudinal clinical data, including diagnostic codes, medications, and medical orders.",An exploratory study of multi-channel CNN for early detection of lung cancer from longitudinal healthcare records.,ct; clinical
paper_1,How does the MCNN's performance compare to baseline models according to the study's findings?,"The MCNN achieved an F₁-score of 66.91%, precision of 84.47%, and recall of 59.79%, and was assessed using stratified 10-fold cross-validation against seven machine learning baselines.",An exploratory study of multi-channel CNN for early detection of lung cancer from longitudinal healthcare records.,ct; clinical
paper_1,What types of data channels were integrated into the MCNN for lung cancer prediction?,"The MCNN processed nine channels of diagnostic codes, medications, and medical orders obtained over a three-year observation period.",An exploratory study of multi-channel CNN for early detection of lung cancer from longitudinal healthcare records.,ct; clinical
paper_1,What was a key finding regarding the model's interpretability and the predictive power of healthcare engagement patterns?,SHAP analysis indicated that diagnostic codes offered the primary predictive power and validated the model's ability to identify pre-diagnostic phases through distinct temporal patterns of healthcare engagement.,An exploratory study of multi-channel CNN for early detection of lung cancer from longitudinal healthcare records.,ct; clinical
paper_2,What was the population studied in the research on differentiating bronchiolar adenoma from lung adenocarcinoma?,The study analyzed a total of 362 patients with pathologically confirmed bronchiolar adenoma or lung adenocarcinoma.,A fusion model based on tumor and peritumoral CT radiomics for differentiating bronchiolar adenoma from lung adenocarcinoma.,ct; pathology
paper_2,What intervention was developed in this study to improve diagnostic accuracy for lung lesions?,The study developed a combined clinical and tumor-peritumoral CT radiomics model to differentiate bronchiolar adenoma from lung adenocarcinoma.,A fusion model based on tumor and peritumoral CT radiomics for differentiating bronchiolar adenoma from lung adenocarcinoma.,ct; pathology
paper_2,What were the main performance metrics used to evaluate the fusion model's effectiveness?,"The performance of the models was evaluated using area under the curve (AUC) values and accuracy rates across the training, test, and validation sets.",A fusion model based on tumor and peritumoral CT radiomics for differentiating bronchiolar adenoma from lung adenocarcinoma.,ct; pathology
paper_2,How did the clinical-radiomics fusion model compare to single models in terms of predictive performance?,"The clinical-radiomics fusion model outperformed single models, achieving AUCs of 0.935, 0.939, and 0.910 in the training, test, and validation sets respectively.",A fusion model based on tumor and peritumoral CT radiomics for differentiating bronchiolar adenoma from lung adenocarcinoma.,ct; pathology
paper_2,What specific imaging features were analyzed to differentiate bronchiolar adenoma from lung adenocarcinoma?,"The study analyzed features such as lung lobe distribution, density, vacuolar sign, tumor-associated vessels, distance to pleura, and nodule diameters.",A fusion model based on tumor and peritumoral CT radiomics for differentiating bronchiolar adenoma from lung adenocarcinoma.,ct; pathology
paper_3,What is the population targeted in the study on EGFR mutation prediction for lung cancer?,The study targets patients with advanced lung adenocarcinoma.,Cross-attention multimodal fusion for EGFR mutation prediction: A predictive model using CT and whole-slide images.,ct; pet; pathology; omics
paper_3,What multimodal intervention does the proposed model use for predicting EGFR mutation status?,The proposed model uses a multimodal fusion framework that integrates Computed Tomography (CT) scans and whole-slide images (WSI).,Cross-attention multimodal fusion for EGFR mutation prediction: A predictive model using CT and whole-slide images.,ct; pet; pathology; omics
paper_3,How does the MFCA framework compare to other models in terms of performance metrics on stromal regions?,The MFCA framework outperformed all baseline and competing models with an AUC value of 0.805 for stromal regions.,Cross-attention multimodal fusion for EGFR mutation prediction: A predictive model using CT and whole-slide images.,ct; pet; pathology; omics
paper_3,What limitations do traditional unimodal and multimodal approaches face according to the abstract?,"Traditional unimodal deep learning models have limited representational power, while existing multimodal methods often lose critical fine-grained details due to data structural discrepancies.",Cross-attention multimodal fusion for EGFR mutation prediction: A predictive model using CT and whole-slide images.,ct; pet; pathology; omics
paper_3,What are the results of the MFCA framework in predicting EGFR mutation status based on the external validation set?,"On the external validation set, the MFCA framework achieved AUC values of 0.758 for cancerous regions, 0.805 for stromal regions, and 0.760 for other regions.",Cross-attention multimodal fusion for EGFR mutation prediction: A predictive model using CT and whole-slide images.,ct; pet; pathology; omics
paper_4,What is the target population used for training the deep learning model in lung cancer diagnosis?,"The target population consists of 691 histopathological images extracted from the LungHist700 dataset, which includes 151 normal subjects, 280 lung adenocarcinoma subjects, and 260 lung squamous cell carcinoma subjects.",Deep feature optimization using fusion of multiple self-supervised learning approaches and filter-based feature selection for lung cancer histopathology classification.,ct; pathology
